49,Abnashi  Lida Impex ( Dholpur),"F-333,RIICO Growth Center,, Extension,Dholpur -328001",AAQFA0405M,08AAQFA0405M1ZE,Delhi,Rajasthan,328001,Mr. Tajinder Pal Ahuja,9760041444,09319102055,abnashilida@gmail.com,
50,Abnashi Sales Corp,,,,Delhi,Uttar Pradesh,,,,,,
51,Abnashi Sales Corporation (Agc),"1495, Mauja Baipur, Sikandra, Agra-282007",,,Delhi,Uttar Pradesh,282007,,9319102055,9760031363,abnashilida@gmail.com,
52,A B Polypacks Pvt Ltd (Hwh),,,,Delhi,West Bengal,,,,,,
53,Abraas Malaspina,Ambur,,,Delhi,Tamil Nadu,,,,,,
54,Abrar Leather Exports Pvt Ltd,"No-17/ N-9, Ground Floor, O S Complex,, E K Guru Street, Periamet, Chennai",,33AAECA7132Q1ZH,Delhi,Tamil Nadu,600003,,,,,
55,Absolute Leathers,"Vaniyambadi,",,,Delhi,Tamil Nadu,635751,,,,,
56,Accessoires India ( Ggn ),"Plot No. 202, Phase-IV, Sector-37,, Gurgaon, Haryana",,06ABAFA9914A1ZX,Delhi,Haryana,,Mr. Rajeev,,,rajeev@accessoiresindia.com,
57,Ace Exports ( Faridabad),"32,Anangpur Dumka,, Surajkund-Badkal Lake Road,, Faridabad, Haryana-121003",,06AAJPK3775F1ZM,Delhi,Haryana,121003,,129-3266404/3264802,,accounts@aceexports.in,
58,ACHIMTA JAMA RB (Kolkata),"11  1st Floor Raghunathpur, P S Bagwati Kolkata-700059",,,Delhi,West Bengal,700059,,,,,
59,Acme Fashions (Ndls),"E- 49/10, Okhla Ind. Area, Phase-II, New Delhi-110020",,07AJUPB2877P1ZD,Delhi,Delhi,110020,,,,,
60,Acme India,,,,Delhi,Uttar Pradesh,,,,,,
61,Acme India (Agc),"46/8A Anand Nagar, Agra - 282002",,09AIHPK2445E1ZE,Delhi,Uttar Pradesh,282002,,,9319105504,acmeindiaa@rediffmail.com,
62,Acme Leather Craft,,,,Delhi,Delhi,,,,,,
63,ACP Creations Pvt Ltd (Hwh),"75/A/1,VIVEKANANDA NAGAR LANE MADHYAMGRAM, BAZAR, , 24 PGS NORTH -700130, Sanhita@acpcreations.in, 9711679880",,,Delhi,West Bengal,700130,,,,sanhita@acpcreations.in,
64,A C S Agenturen (Noida),D-75  Noida,,,Delhi,Uttar Pradesh,,,,,,
65,Acts Engineering,,,,Delhi,Delhi,,,,,,
66,Adam & Associates,"Periamet, Chennai,",,,Delhi,Tamil Nadu,,,,,,
67,Adams Leather (Hwh),"G-365, Alif Nagar Lane,, Kolkata-700024",,19BRUPA6126K1ZC,Delhi,West Bengal,700024,,,,,
68,Adees Exports (Agc),"F-62, UPSIDC Industrial Area,, Sikandra, -282007 U P, 0562-3296389/ 9837063339, Adeesexports@gmail.Com, Accounts@adeesexports.Com",,,Delhi,Uttar Pradesh,282007,,,7895920255,adeesexports@gmail.com,
69,Adiko Systems (Ndls),"Kh.No. 1143, Rithala, Near Suzuki Showroom, -110085, 9811305211,45235211,42041257, Adikosystems@yahoo.Co.in, Info@furniture-Store.in",,,Delhi,Delhi,110085,,,,,
70,Adinos Impex,Ranipet,,,Delhi,Tamil Nadu,,,,,,
71,Aditi Printer (Noida),"C-96, Noida-201301",,09BZFPS9316G1ZX,Delhi,Uttar Pradesh,201301,,,,,
72,Aditya Corporation,"H--82, Parsanthcity, Gode-No2,, Jodhpur",,,Delhi,Rajasthan,,,,,,
73,Aditya Systems (Sbc),"Sri Venkateswara Complex, #37/2, Ground Floor, Basavanpura Road, KR Puram,  - 560 036",,,Delhi,Karnataka,,,,,,
74,Aditya Technologies,,,,Delhi,Delhi,,,,,,
75,Aditya Technologies Pvt Ltd ( N Delhi ),"212, Aditya Commercial Complex, Nangal Raya,  -110046 Ph#28524137  28521529 28525027",,,Delhi,Delhi,,,,,,
76,ADL INTERNATIONAL (Hwh),,,,Delhi,West Bengal,,,,,,
77,Adnan Rafi (Cnb),"Kanpur, Uttar Pradesh, 7054106444, Assadrafe58@gmail.Com",,,Delhi,Uttar Pradesh,,,,,,
78,Adroit Leathers(New Delhi),"B -38 Flatted Factory Complex Jhandewalan, New Delhi, Delhi 110005",,07ACOPV7786L1ZC,Delhi,Delhi,110055,,,,,
79,Advanced Micro Services Pvt Ltd (Sbc),"#728, 1st Floor, 35th C Cross, 10th Main, 4th Block,, Jayanagar,  - 560011, 080 - 66379734, Patil@amsindia.Net",,,Delhi,Karnataka,560011,,,,,
80,Advance Impex,,,,Delhi,Delhi,,,,,,
81,Advantage (Ndl),", Mob: 09811939394",,,Delhi,Delhi,,,,,,
82,Adwyn Impex Pvt Ltd ( Ndls ),"L-603 , Agersain Awas-66, IP Extension  -110092, Mob. 9971144770, Info@adwyngroup.Com",,,Delhi,Delhi,,,,,,
83,AEE Overseas (Noida),"A-38, Sector-58, Noida-201301",,09AAIPM3685R1ZP,Delhi,Uttar Pradesh,201301,,,,,
84,A E Industries Pvt Ltd (Faridabad),"Plot No-2, Pali Ghazipur Road,, Industrial Area, Faridabad - 121005",,06AALCA2414Q1ZG,Delhi,Haryana,121005,Mr. Arun Chaudhary,9958546622,,,
85,Aeon Overseas (Ggn),"D-14/7FF, the Presidency Ardee City Sector-52, -122002, 8059199911",,,Delhi,Haryana,122002,,,,,
86,Aeon Telectronics Pvt Ltd (Sbc),"Office: No. 10, 10th Main Road, 3rd Block, Jayanagar, Bangalore-560 011",,29AABCA2387C1ZV,Delhi,Karnataka,560011,Ms. Reena,80-22457299/26654665,,purchase@aeontele.com,info@aeontele.com
87,Aero Club,,,,Delhi,Delhi,,,,,,
88,Aero Club ( Ndls ),"867 Joshi Road Karol Bagh, New Delhi-110005",,07AAFFA1530L1ZP,Delhi,Delhi,110005,,,98990903775,,
89,Aero Club Unit-3 (Dehradun),"Khasara No. 265/66, Central Hope Town Ind. Area,, Selaqui, Dehradun-248197",,05AAFFA1530L1ZT,Delhi,Uttarakhand,248197,Mr. Ijayul Paik & Mr. Shashi Bhushan,8273630302,8979841810/08171339349,ijayul2011@rediffmail.com,
90,Aero Strap (Noida),"C-319, Sec-10, 1st Floor, Noida-201301",,09AVKPS2028M2Z0,Delhi,Uttar Pradesh,201301,,,9910777135 / 9968335841,,
91,Aesthentic International Products Pvt (Ggn),"543-B, Pace City-2, Sector-37, Gurgaon - 122037,",,06AAPCA7206G1ZP,Delhi,Haryana,122037,,,,,
92,Aesthentic Living Merchants Pvt Ltd ( Ggn ),"Plot No.-118, Sector-8, Imt Manesar,, Gurgaon-122050",,06AAECA3471E1Z1,Delhi,Haryana,122050,,,9313212930,,
93,Aesthetic International,,,,Delhi,Haryana,,,,,,
94,Afco International (Cnb),"PLOT NO 2 112 109, ABA COMPOUND POKHARPUR, JAJMAU KANPUR-208010",,09ARTPA0440J1ZS,Delhi,Uttar Pradesh,208010,Mr. Karan,9792504030,,,
95,Afeef International,,,,Delhi,Tamil Nadu,,,,,,
96,Affan Shoes Pvt Ltd,Chennai,,,Delhi,Tamil Nadu,,,,,,
97,AFI Tannery,"Cutchery Road, Vaniyambadi",,,Delhi,Tamil Nadu,,,,,,
98,A Five Creations,"No- 13, Kailasagiri Road,Udayendiram,, Vaniyambadi,",,33AHGPA1554N1ZI,Delhi,Tamil Nadu,635754,,,,,
99,A.F Leathers,,,,Delhi,Tamil Nadu,,,,,,
100,Afnan Exports,"Thuthipet, Ambur.",,,Delhi,Tamil Nadu,,,,,,
101,AFPL Global,,,,Delhi,Uttar Pradesh,,,,,,
102,AFPL Global Pvt Ltd (Cnb),"E-56 & E-1, Panki Industrial Area Site-III,, Kanpur-208022",,09AABCP1870B1ZQ,Delhi,Uttar Pradesh,208022,Mr.  Anurag,,9125859700,purchase@arvinco.com,
103,Afra Import & Exports,,,,Delhi,Tamil Nadu,,,,,,
104,Afroze Leather,,,,Delhi,Tamil Nadu,,,,,,
105,Aftab Tanning (Cnb),Kanpur,,,Delhi,Uttar Pradesh,,,,,,
106,Agharti Exports Pvt Ltd (Agc),"MIG. A- 178, Shastri Puram, Sikandra, -282007, 9368237496, Aghartigroup@gmail.Com",,,Delhi,Uttar Pradesh,282007,,,,,
107,Agra Leather Fair (Agc),"BSNI Ground, Mall Road,",,,Delhi,Uttar Pradesh,,,,,,
108,Agra Shes Mart (Agra),"30  ST PETERS COLONY, PETERS COLONY  AGRA, 282003",,09ADMPR5680E1Z2,Delhi,Uttar Pradesh,282003,,,,,
109,Agra Shine Footwear (Agc),"Khasra-40, Plot No- 40-A, Shivam Vatika, Miyapur,, Agra, U P,",,09CDNPS4448C2Z5,Delhi,Uttar Pradesh,,,,9971197775,,
110,Agree Shoes (Agc),"52/139, , U.P., 9639415666",,,Delhi,Uttar Pradesh,,,,,,
111,Ahalli Leather Products Ltd ( Sbc ),"202, Eden Crest, Bg No.43,, Viviani Road, Bangalore-560005",,29AAAKC0921H1ZS,Delhi,Karnataka,560005,,,,oommen2002@yahoo.com,jacobtoommen@gmail.com
112,Ahmad International (Cnb),"150 Feet Road Jajmau,, Kanpur-208010",,09AATFA4558N1ZL,Delhi,Uttar Pradesh,208010,,512-3293344,9005777333/9839110144,mail@ahmadintl.com,
113,Ahmed Abrar Leathers,,,,Delhi,Tamil Nadu,,,,,,
114,Ahmed Bhai (Cnb),"Kanpur, Uttar Pradesh",,,Delhi,Uttar Pradesh,,,,,,
115,Ahmed International (Hwh),"No. 16/D, Topsia Road South,, , , 9831002427, Ahmedintleu@gmail.Com",,,Delhi,West Bengal,,,,,,
116,Ahmed Tannery (Hwh),"10/1/1A, Topsia Road (South),",,19ACXPA6297N1ZJ,Delhi,West Bengal,700046,,,9681394643,mobashir@ahmedtannery.com,
117,Ahmed Tannery Pvt Ltd (Hwh),"10/1/1A, Topsia Road (South),, -700046 , India, 33-23448683/ 8684/ 8695, Mobashir@ahmedtannery.Com, Anileshsarkar@yahoo.Com",,,Delhi,West Bengal,700046,,,9231565728/8013282769,,
118,A. H. N. Leathers,"No- 50/2,  2nd Floor, Perianna Maistry Street,, Periamet-Chennai",,33FUZPS6217P1ZF,Delhi,Tamil Nadu,600033,,,,,
119,Ahsan Leather (P) Ltd ( Cnb ),,,,Delhi,Uttar Pradesh,,,,,,
120,A H Tiam Tannery,"10/1A, Topsia Road South, -700046, 9681394643",,,Delhi,West Bengal,,Mr. Mir,,9681394643,,
121,A H Tiam Tannery (Hwh),10/1/1a Topsia Road  South Kolkata-700046,,19AAFFA1852R1ZZ,Delhi,West Bengal,700046,,,,ahtiamtannery786@gmail.com,
122,Ahuja Plastic Udyog (Faridabad),"Plot No. 20-A/17, Dhanda Complex,, Industrial Area, Faridabad-121001",,06AAKFA1122H1ZZ,Delhi,Haryana,121001,Mr. Sanjeev Ahuja,0129-4028152,9811813706,ahujaplasticudyog@gmail.com,
123,Ahuja Traders (Hwh),"25A, Beniapukur Road,, Kolkata-700014",,19ADBPA0930D1ZC,Delhi,West Bengal,700014,,,8013931906,,
124,Aina Crafts (Cnb),"Plot No. 143, Shujat Ganj Cod, Kanpur Nagar, Kanpur-208013",,09EHAPS9131R1ZG,Delhi,Uttar Pradesh,208013,,,919828769,,
125,AIRGEN ENGINEERING AND SERVICES (HWH),"NO. 3535 SATCHASI PARA ROAD,  - 700002, 9038963404/33-30207675",,,Delhi,West Bengal,,,,,,
126,Aish Overseas,"4348, Nathnal Jika Chowk Johare Bazar,, Jaipur,",,,Delhi,Rajasthan,302003,,,,,
127,Aishvi Apparel (New Delhi),"631/21 Tughlakabad Extension, -110019, Aishvi Apparel@rediff Mail.Com, M-9810132067",,,Delhi,Delhi,,,,,,
128,Aivpoamhertor Cohsors Pvt Ltd,,,,Delhi,Maharashtra,,,,,,
129,Ajanta Lables Co P Ltd,,,,Delhi,Delhi,,,,,,
130,Ajay Industrial Cropn Ltd (New Delhi),"B-30 Mayapuri Industrial Area, Phase-1 New Delhi-110064",,07AAHCA1943Q1ZA,Delhi,Delhi,110064,,,,,
131,Ajeet Leather Store (Agc),"E-66, Site 'c' UPSIDC,, Sikandara, Agra",,09AAHFA1098B1ZP,Delhi,Uttar Pradesh,,,,9897315888,,
132,A & J Exports,,,,Delhi,Tamil Nadu,,,,,,
133,A J Fashions (New Delhi),WZ-244 Madi Pur New SDelhi-110063,,07ACHPY6458P1ZH,Delhi,Delhi,,,,9899415896,,
134,Akbar Bhai,,,,Delhi,Maharashtra,,,,,,
135,A.K.Chattpadhya,,,,Delhi,Uttar Pradesh,,,,,,
136,A. K. Enterprises (Cnb),"67/23 KDA Colony, Pokharpur Kanpur, Uttar Pradesh -Pincode-20810",,09GXCPK8871C1Z5,Delhi,Uttar Pradesh,208010,,,,,
137,A K Enterprises (Noida),"C-166 Sector 63, Noida",,,Delhi,Uttar Pradesh,,,,,,
138,Akhil Leather Co (KB),"Karol Bagh, New Delhi",,07AFQPA6951D1ZH,Delhi,Delhi,,,,,,
139,AKJ Industries Pvt Ltd (Hwh),"13/2 Mahendra Roy Lane,, Kolkata-700046",,19AAGCA2644D1ZX,Delhi,West Bengal,700046,,,,rishi@akjintl.com,
140,Akky (Cnb),"E-23, Indraprastha Appt., Ratan Lal Nagar,, Kanpur-208022",,09AHWPA8891L1ZB,Delhi,Uttar Pradesh,208022,,,,,
141,A.K Leathers,,,,Delhi,Tamil Nadu,,,,,,
142,Akopin Leather & Rubber Industries (Cnb),"Kanpur, Uttar Pradesh",ALSPM8697C,09ALSPM8697C1Z9,Delhi,Uttar Pradesh,,Mr. Mohd Ismail,,9044499990,accounts@akopin.com,
143,A.K.Plastics,,,,Delhi,Uttar Pradesh,,,,,,
144,A K Plastics (Agc),"C-16/2/1, Foundry Nagar,, Agra-282006",,09AASPM7240A1ZN,Delhi,Uttar Pradesh,282006,,,9897618600,akmittal.akpgroup@yahoo.co.in,
145,AKS Enterprises,Ranipet,,,Delhi,Tamil Nadu,,,,,,
146,AKS Leather India (OPC) Pvt Ltd (Ggn),"Plot No.-18, Udhyog Vihar,Phase-VI, Sector- 37, Gurgaon-122001-India",,06AANCA8458J1Z4,Delhi,Haryana,122001,,0124-4283957,,,
147,A.K.& Sons (Cnb),"88/446  Humayu Bagh Road, Chaman Ganj  Kanpur, Uttar Pradesh",,09AJXPA3848C1Z1,Delhi,Uttar Pradesh,208001,,,,,
148,AKS Trading Company (Hwh),"36, Ismail Street,, Kolkata Airport, Kolkata - 700052",,19ABQPT8903L1ZO,Delhi,West Bengal,700052,,,9831087789,vrdaks@gmail.com,
149,AL Ameen Leathers,,,,Delhi,Tamil Nadu,,,,,,
150,Alamode Overseas (Agc),Agra,,,Delhi,Uttar Pradesh,,,,,,
151,Alam Tannery Pvt Ltd (Hwh),"187, Park St, Mullick Bazar,, Beniapukur, Kolkata, West Bengal-700017",AACCA0801G,19AACCA0801G1Z8,Delhi,West Bengal,700017,Mr. Shabad Alam,33 40226900,,shadab@grupalam.com,
152,Alaska Leather (Hwh),,,,Delhi,West Bengal,,,,,,
153,Al Asma Export (Cnb),"A-69, Pokharpur, Jajmau,  - 208010, , India, 9651595143, Alasmaexport2012@gmail.Com",,,Delhi,Uttar Pradesh,208010,Mr. Ikhlak Husain,,,,
154,Alba International,,,,Delhi,Delhi,,,,,,
155,Alba International (New Delhi),"G-97/B Jawahar Park, Devali Road, Khanpur,, -110062, Aitulgovil@gmail.Com, M-98991550066",,,Delhi,Delhi,110062,,,,,
156,AL Barakah International,,,,Delhi,West Bengal,,,,,,
157,ALB Surgicals Pvt. Ltd (Ndls),"3/18, West Patel Nagar,, -110008, 011-25881664, 25883665, Nitika@albsurgicals.Com",,,Delhi,Delhi,110008,,,,,
158,Aleena Footwear (Bom),,,,Delhi,Maharashtra,,,,,,
159,Aleeza International (Mumbai),"Flat No-406 A 4th Floor Fatima Apartment Morland, Road Gala No4 A-244 Petwala Compound Maulana, Azad Raod Mumbai, Pin Code-400008",,27BWNPK1093B1ZL,Delhi,Maharashtra,400008,,,,,
160,Alert Enterprises (Agc),"9/635, Moti Katra, , U.P., Ankitmarwah21@gmail.Com",,,Delhi,Uttar Pradesh,,,,,,
161,Al Falah Leathers,,,,Delhi,Tamil Nadu,,,,,,
162,Alfa Leather (Ndls),"Karol Bagh, New Delhi",,07AKQPG5735J1ZR,Delhi,Delhi,,,,,,
163,Al Haj Vaseer Rahman,,,,Delhi,Karnataka,,,,,,
164,Alhamd Leather India Pvt Ltd (Hwh),"82C, Matheswar Talla Road,, -700046, 98366 34499, Info@alhamdleather.Com",,,Delhi,West Bengal,700046,,,,info@alhamdleather.com,
165,Al Hasan Leather,,,,Delhi,Delhi,,,,,,
166,Alia International (Hwh),"55B/, 2A, Dilkhusa St, Park Circus, Ballygunge, -700017, 98830 65696",,,Delhi,West Bengal,,,,,,
167,Alif International (Cnb),"78, Cantt, Near Phool Bagh,,  - 208004,  , India, 9335028621",,,Delhi,Uttar Pradesh,208004,,,,,
168,ALIG Industries,"36,A Block, 150 ft Road, Jajmau, Kanpur., (UP), India.",,,Delhi,Uttar Pradesh,208010,,,91 9984786229,,
169,Alignz Exports Pvt Ltd (Noida),"A-99 and 100, Sector-65, Noida 201301",,09AABCI3524P1Z9,Delhi,Uttar Pradesh,201301,Mr. Aseem Singhal,,,aseem@alignzexports.com,
170,Alig Tannery (Cnb),"16-A (2), Gujjupurwa Jajmau,, Kanpur-208010",,09AACFA4441P1Z8,Delhi,Uttar Pradesh,208010,Mr. Imran,8299833076,9235720238,production@aligfashion.com,
171,Alina Exim (Cnb),"112/109, ABA Compound, Pokharpur,, Jajmau, -208010, Alinaexim@yahoo.in, 8188880066",,,Delhi,Uttar Pradesh,208010,,,,,
172,Alisha Clothing Pvt Ltd (Bom),"No,204,Jaferbhoy Industrial Estate,Makwana Road, Off Andherikorla Road, Marol Naka, Andheri, Mumbai-400059",,27AACCA3473E1ZX,Delhi,Maharashtra,400059,Mr. Karl,,9821028201,,
173,Alisha Overseas,,,,Delhi,Tamil Nadu,,,,,,
174,Alka Creations (Hwh),"200, Vip Nagar Kolkata",,19AKQPM1129E1Z3,Delhi,West Bengal,700100,,,9831001240,alkacreations2016@gmail.com,
175,Alka.Pandey Packaging,"Jaipur, Rajastan.",,,Delhi,Rajasthan,,,,,,
176,Alka Pandey Packaging Pvt Ltd (Jaipur),"Sp-1013C, RIICO Industrial Area,, Phase-3, Sitapura, Jaipur, Rajasthan-302022",,08AAJCA2159G1ZP,Delhi,Rajasthan,302022,Mr. Sumit Sharma,141-3192828,7300083011,alkapandey@alkapandey.in,info@alkapandey.in
177,Allfa Foams,,,,Delhi,Maharashtra,,,,,,
178,Allied Caps (Ndls),", Mr. Ankur Manchanda 9999030408",,,Delhi,Delhi,,,,,,
179,Allied Industries (New Delhi),"A-48/1, Gt Karnal Road, Delhi - 110033,, +(91)-11-27436422",,07AAKFA7592B1ZF,Delhi,Delhi,,,,,,
180,Allied Tanning,"No-4, 1st Floor, Vepery High Road, Periamet,, Chennai",,33AAFPA6463LIZR,Delhi,Tamil Nadu,600003,,,,,
181,All That Jazz,Noida,,,Delhi,Uttar Pradesh,,,,,,
182,All That Jazzz,Noida,,,Delhi,Uttar Pradesh,,,,,,
183,All That Jazzz ( Noida ),"C-48, Sector-4, Noida, Uttar Pradesh, 9891935429",,09AFFPM9786F1ZT,Delhi,Uttar Pradesh,,,,,,
184,Almari (Hyb),"8-2-686,B1,1st Floor,, Above OMa Home Decor Store,, Road No 12, Banjara Hills ,, Hyderabad-500034",,36ABAFA0235C1ZA,Delhi,Telangana,,,040-23384561,,,
185,Almas Sales Corportaion (Agc),"6/72, H M Plaza Near Neelam Shoe Center,, Nala Hing Ki Mandi,, .",,,Delhi,Uttar Pradesh,,,,,,
186,Almighty International,"Perimet, Chennai",,,Delhi,Tamil Nadu,,,,,,
187,Al Noor International,,,,Delhi,Tamil Nadu,,,,,,
188,Alpen Fashion &Tracht Pvt Ltd(Noida),"D-249 Sector-10, Noida-201301, 09953270530, Alpennoida@alpenfashion.Com",,,Delhi,Uttar Pradesh,,,,,,
189,Alpha Garments (New Delhi),"S-27, Okhla Phase-II, Okhla Industrial Area,,  Mob No.9999723678",,,Delhi,Delhi,,,,,,
190,Alpha Leather (K B),"Karol Bagh, ",,,Delhi,Delhi,,,,,,
191,Alpha Leather Products,Chennai,,,Delhi,Tamil Nadu,,,,,,
192,Alpha Overseas International Pvt Ltd (Hwh),"1/1, Camac Street, 2nd Floor, Suite 09,, -700016, 33 2229 0416, Aoipl@vsnl.Com",,,Delhi,West Bengal,700016,,,,,
193,Alpine Apparels Pvt Ltd ( Faridabad ),"Plot No. 25 Sector 27- A,  Faridabad 121003",,06AADCA0100D1ZS,Delhi,Haryana,121003,,129-2276225/26,,jitender@alpineapparels.com,
194,Alpine Impex Pvt Ltd,Faridabad,,,Delhi,Haryana,,,,,,
195,Alpine Impex Pvt Ltd ( Faridabad ),"Plot No. 19, Sector-27, Faridabad,, Haryana",,,Delhi,Haryana,,,,,,
196,Alpine Life Style ( Ndls ),", Mob No. 9810554067",,,Delhi,Delhi,,,,,,
197,Alto Leathers,Ambur,,33ALDPA3484R1ZU,Delhi,Tamil Nadu,,,,,,
